Image1,Image2,Angle1_deg,Angle2_deg,Delta_deg
phantom_lbl_0232.png,phantom_lbl_0233.png,281.44,302.17,20.73
phantom_lbl_0235.png,phantom_lbl_0236.png,-20.00,171.73,191.73
phantom_lbl_0236.png,phantom_lbl_0237.png,171.73,306.30,134.58
phantom_lbl_0237.png,phantom_lbl_0238.png,306.30,320.60,14.30
phantom_lbl_0238.png,phantom_lbl_0239.png,320.60,315.28,-5.32
phantom_lbl_0239.png,phantom_lbl_0240.png,315.28,289.10,-26.18
phantom_lbl_0240.png,phantom_lbl_0241.png,289.10,279.68,-9.42
phantom_lbl_0241.png,phantom_lbl_0242.png,279.68,267.16,-12.52
phantom_lbl_0242.png,phantom_lbl_0243.png,267.16,260.42,-6.74
phantom_lbl_0243.png,phantom_lbl_0244.png,260.42,273.00,12.57
phantom_lbl_0244.png,phantom_lbl_0245.png,273.00,273.34,0.35
phantom_lbl_0245.png,phantom_lbl_0246.png,273.34,46.16,-227.18
phantom_lbl_0246.png,phantom_lbl_0247.png,46.16,266.87,220.71
phantom_lbl_0247.png,phantom_lbl_0248.png,266.87,254.36,-12.50
phantom_lbl_0248.png,phantom_lbl_0249.png,254.36,302.09,47.73
phantom_lbl_0249.png,phantom_lbl_0250.png,302.09,302.25,0.16
phantom_lbl_0250.png,phantom_lbl_0251.png,302.25,278.74,-23.51
phantom_lbl_0251.png,phantom_lbl_0252.png,278.74,328.81,50.07
phantom_lbl_0252.png,phantom_lbl_0253.png,328.81,319.00,-9.82
phantom_lbl_0253.png,phantom_lbl_0254.png,319.00,310.33,-8.66
phantom_lbl_0254.png,phantom_lbl_0255.png,310.33,327.33,17.00
phantom_lbl_0255.png,phantom_lbl_0256.png,327.33,317.41,-9.93
phantom_lbl_0256.png,phantom_lbl_0257.png,317.41,42.66,-274.75
phantom_lbl_0257.png,phantom_lbl_0258.png,42.66,304.21,261.55
phantom_lbl_0258.png,phantom_lbl_0259.png,304.21,295.89,-8.33
phantom_lbl_0259.png,phantom_lbl_0260.png,295.89,225.73,-70.16
phantom_lbl_0260.png,phantom_lbl_0261.png,225.73,214.61,-11.12
phantom_lbl_0261.png,phantom_lbl_0262.png,214.61,354.77,140.16
phantom_lbl_0262.png,phantom_lbl_0263.png,354.77,277.40,-77.38
phantom_lbl_0263.png,phantom_lbl_0264.png,277.40,338.51,61.11
phantom_lbl_0264.png,phantom_lbl_0265.png,338.51,473.48,134.97
phantom_lbl_0265.png,phantom_lbl_0266.png,473.48,313.53,-159.95
phantom_lbl_0266.png,phantom_lbl_0267.png,313.53,329.98,16.45
phantom_lbl_0267.png,phantom_lbl_0268.png,329.98,24.25,-305.73
phantom_lbl_0268.png,phantom_lbl_0269.png,24.25,349.17,324.92
phantom_lbl_0269.png,phantom_lbl_0270.png,349.17,326.98,-22.18
phantom_lbl_0270.png,phantom_lbl_0271.png,326.98,327.15,0.17
phantom_lbl_0271.png,phantom_lbl_0272.png,327.15,200.94,-126.21
phantom_lbl_0272.png,phantom_lbl_0273.png,200.94,234.08,33.14
phantom_lbl_0273.png,phantom_lbl_0274.png,234.08,192.70,-41.38
phantom_lbl_0274.png,phantom_lbl_0275.png,192.70,160.18,-32.51
phantom_lbl_0275.png,phantom_lbl_0276.png,160.18,139.54,-20.64
phantom_lbl_0276.png,phantom_lbl_0277.png,139.54,181.43,41.88
phantom_lbl_0277.png,phantom_lbl_0278.png,181.43,138.14,-43.29
phantom_lbl_0278.png,phantom_lbl_0279.png,138.14,31.48,-106.65
phantom_lbl_0279.png,phantom_lbl_0280.png,31.48,95.14,63.66
phantom_lbl_0280.png,phantom_lbl_0281.png,95.14,104.39,9.25
phantom_lbl_0281.png,phantom_lbl_0282.png,104.39,123.63,19.23
phantom_lbl_0282.png,phantom_lbl_0283.png,123.63,114.56,-9.06
phantom_lbl_0283.png,phantom_lbl_0284.png,114.56,183.46,68.90
phantom_lbl_0284.png,phantom_lbl_0285.png,183.46,202.27,18.81
phantom_lbl_0285.png,phantom_lbl_0286.png,202.27,312.21,109.94
phantom_lbl_0286.png,phantom_lbl_0287.png,312.21,324.33,12.12
phantom_lbl_0287.png,phantom_lbl_0288.png,324.33,396.66,72.33
phantom_lbl_0288.png,phantom_lbl_0289.png,396.66,365.35,-31.31
phantom_lbl_0289.png,phantom_lbl_0290.png,365.35,50.27,-315.08
phantom_lbl_0290.png,phantom_lbl_0291.png,50.27,409.98,359.72
phantom_lbl_0291.png,phantom_lbl_0292.png,409.98,363.20,-46.78
phantom_lbl_0292.png,phantom_lbl_0293.png,363.20,392.52,29.31
phantom_lbl_0293.png,phantom_lbl_0294.png,392.52,389.54,-2.98
phantom_lbl_0294.png,phantom_lbl_0295.png,389.54,316.16,-73.38
phantom_lbl_0295.png,phantom_lbl_0296.png,316.16,254.27,-61.89
phantom_lbl_0296.png,phantom_lbl_0297.png,254.27,298.89,44.62
phantom_lbl_0297.png,phantom_lbl_0298.png,298.89,198.52,-100.37
phantom_lbl_0298.png,phantom_lbl_0299.png,198.52,181.72,-16.80
phantom_lbl_0299.png,phantom_lbl_0300.png,181.72,179.10,-2.63
phantom_lbl_0300.png,phantom_lbl_0301.png,179.10,48.61,-130.49
phantom_lbl_0301.png,phantom_lbl_0302.png,48.61,190.91,142.30
phantom_lbl_0302.png,phantom_lbl_0303.png,190.91,184.11,-6.80
phantom_lbl_0303.png,phantom_lbl_0304.png,184.11,183.22,-0.89
phantom_lbl_0304.png,phantom_lbl_0305.png,183.22,214.54,31.32
phantom_lbl_0305.png,phantom_lbl_0306.png,214.54,154.02,-60.53
phantom_lbl_0306.png,phantom_lbl_0307.png,154.02,287.00,132.98
phantom_lbl_0307.png,phantom_lbl_0308.png,287.00,283.61,-3.39
phantom_lbl_0308.png,phantom_lbl_0309.png,283.61,282.46,-1.15
phantom_lbl_0309.png,phantom_lbl_0310.png,282.46,288.27,5.81
phantom_lbl_0310.png,phantom_lbl_0311.png,288.27,300.29,12.02
phantom_lbl_0311.png,phantom_lbl_0312.png,300.29,55.77,-244.52
phantom_lbl_0312.png,phantom_lbl_0313.png,55.77,304.73,248.95
phantom_lbl_0313.png,phantom_lbl_0314.png,304.73,313.14,8.41
phantom_lbl_0314.png,phantom_lbl_0315.png,313.14,311.81,-1.33
phantom_lbl_0315.png,phantom_lbl_0316.png,311.81,320.52,8.71
phantom_lbl_0316.png,phantom_lbl_0317.png,320.52,301.27,-19.25
phantom_lbl_0317.png,phantom_lbl_0318.png,301.27,308.14,6.87
phantom_lbl_0318.png,phantom_lbl_0319.png,308.14,302.57,-5.57
phantom_lbl_0319.png,phantom_lbl_0320.png,302.57,276.98,-25.59
phantom_lbl_0320.png,phantom_lbl_0321.png,276.98,308.26,31.28
phantom_lbl_0321.png,phantom_lbl_0322.png,308.26,236.55,-71.71
phantom_lbl_0322.png,phantom_lbl_0323.png,236.55,87.68,-148.87
phantom_lbl_0323.png,phantom_lbl_0324.png,87.68,186.49,98.81
phantom_lbl_0324.png,phantom_lbl_0325.png,186.49,229.31,42.82
phantom_lbl_0325.png,phantom_lbl_0326.png,229.31,228.70,-0.61
phantom_lbl_0326.png,phantom_lbl_0327.png,228.70,249.17,20.47
phantom_lbl_0327.png,phantom_lbl_0328.png,249.17,249.90,0.73
phantom_lbl_0328.png,phantom_lbl_0329.png,249.90,240.08,-9.82
phantom_lbl_0329.png,phantom_lbl_0330.png,240.08,209.58,-30.50
phantom_lbl_0330.png,phantom_lbl_0331.png,209.58,201.68,-7.90
phantom_lbl_0331.png,phantom_lbl_0332.png,201.68,231.56,29.88
phantom_lbl_0332.png,phantom_lbl_0333.png,231.56,231.14,-0.42
phantom_lbl_0333.png,phantom_lbl_0334.png,231.14,93.76,-137.38
phantom_lbl_0334.png,phantom_lbl_0335.png,93.76,91.20,-2.57
phantom_lbl_0335.png,phantom_lbl_0336.png,91.20,219.03,127.83
phantom_lbl_0336.png,phantom_lbl_0337.png,219.03,251.83,32.81
phantom_lbl_0337.png,phantom_lbl_0338.png,251.83,234.75,-17.08
phantom_lbl_0340.png,phantom_lbl_0341.png,222.21,235.19,12.98
phantom_lbl_0341.png,phantom_lbl_0342.png,235.19,253.85,18.66
phantom_lbl_0342.png,phantom_lbl_0343.png,253.85,236.35,-17.50
phantom_lbl_0343.png,phantom_lbl_0344.png,236.35,243.08,6.73
phantom_lbl_0344.png,phantom_lbl_0345.png,243.08,262.79,19.71
phantom_lbl_0345.png,phantom_lbl_0346.png,262.79,97.59,-165.20
phantom_lbl_0346.png,phantom_lbl_0347.png,97.59,240.42,142.83
phantom_lbl_0347.png,phantom_lbl_0348.png,240.42,221.87,-18.55
phantom_lbl_0348.png,phantom_lbl_0349.png,221.87,253.01,31.14
phantom_lbl_0349.png,phantom_lbl_0350.png,253.01,233.80,-19.22
phantom_lbl_0350.png,phantom_lbl_0351.png,233.80,239.76,5.97
phantom_lbl_0351.png,phantom_lbl_0352.png,239.76,248.24,8.47
phantom_lbl_0352.png,phantom_lbl_0353.png,248.24,247.51,-0.72
phantom_lbl_0353.png,phantom_lbl_0354.png,247.51,211.42,-36.09
phantom_lbl_0354.png,phantom_lbl_0355.png,211.42,210.34,-1.08
phantom_lbl_0355.png,phantom_lbl_0356.png,210.34,225.43,15.09
phantom_lbl_0356.png,phantom_lbl_0357.png,225.43,75.53,-149.90
phantom_lbl_0357.png,phantom_lbl_0358.png,75.53,228.81,153.28
phantom_lbl_0358.png,phantom_lbl_0359.png,228.81,220.84,-7.96
phantom_lbl_0359.png,phantom_lbl_0360.png,220.84,254.88,34.04
phantom_lbl_0360.png,phantom_lbl_0361.png,254.88,226.86,-28.02
phantom_lbl_0361.png,phantom_lbl_0362.png,226.86,269.42,42.56
phantom_lbl_0362.png,phantom_lbl_0363.png,269.42,233.92,-35.50
phantom_lbl_0363.png,phantom_lbl_0364.png,233.92,222.89,-11.03
phantom_lbl_0364.png,phantom_lbl_0365.png,222.89,270.81,47.92
phantom_lbl_0365.png,phantom_lbl_0366.png,270.81,264.31,-6.50
phantom_lbl_0366.png,phantom_lbl_0367.png,264.31,233.53,-30.78
phantom_lbl_0367.png,phantom_lbl_0368.png,233.53,140.72,-92.81
